stationName,date,record,maxAirTmp,timeMaxAirTmp,minAirTmp,timeMinAirTmp,avgAirTmp,avgRelHum,avgDewPoint,maxRelHum,timeMaxRelHum,maxDewPoint,timeMaxDewPoint,minRelHum,timeMinRelHum,minDewPoint,timeMinDewPoint,avgWindSpeed,maxWindSpeed,timeMaxWindSpeed,maxWindSpeedDir,precip,solRad,eto,etoFlag,hstAirTmp01,hstAirTmp02,hstAirTmp03,hstAirTmp04,hstAirTmp05,hstAirTmp06,hstAirTmp07,hstAirTmp08,hstAirTmp09,hstAirTmp10,hstAirTmp11,hstAirTmp12,hstAirTmp13,batVolt,yearRain,eto7,eto30,maxSoilTmp,minSoilTmp,avgSoilTmp
Coastal,2019-01-01,0,54.85,1429.0,41.82,435.0,46.86,14.66,,,,,,,,,,4.208,30.59,620.0,92.0,0.0,289.9,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-02,0,59.72,1047.0,37.56,324.0,47.5,35.94,,,,,,,,,,0.977,22.2,19.0,143.0,0.0,281.5,0.064,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-03,0,62.09,1215.0,38.29,22.0,47.65,61.35,,,,,,,,,,0.952,8.79,1025.0,122.0,0.0,287.6,0.065,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-04,0,59.46,1356.0,37.56,245.0,47.0,79.94,,,,,,,,,,0.674,7.108,1247.0,258.0,0.0,289.1,0.064,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-05,0,51.77,1233.0,42.12,23.0,47.85,85.9,,,,,,,,,,3.79,17.17,2148.0,123.0,0.44,53.53,0.022,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-06,0,57.47,1114.0,40.84,700.0,47.87,87.6,,,,,,,,,,1.373,10.46,55.0,109.0,0.01,217.8,0.047,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-07,0,59.96,1238.0,46.08,542.0,50.33,81.1,,,,,,,,,,2.131,13.82,342.0,104.0,0.02,180.7,0.042,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-08,0,68.12,1228.0,44.98,456.0,54.96,66.74,,,,,,,,,,1.639,12.14,1748.0,106.0,0.0,248.1,0.066,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-09,0,65.28,1223.0,43.27,605.0,52.62,81.4,,,,,,,,,,1.088,10.46,240.0,120.0,0.0,281.4,0.066,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-10,0,62.21,1108.0,45.23,422.0,51.72,90.8,,,,,,,,,,0.264,7.108,158.0,277.0,0.0,259.3,0.059,*,,,,,,,,,,,,,,,,,,,,
