CHAR_TYPE_CD,EFFDT,ET_ZONE,VALUE,MONTH,YEAR
ETZONE,1/1/2018 0:0:0,1,0.05,1,2018
ETZONE,1/1/2018 0:0:0,3,0.06,1,2018
ETZONE,1/1/2018 0:0:0,2,0.06,1,2018
ETZONE,1/2/2018 0:0:0,2,0.07,1,2018
ETZONE,1/2/2018 0:0:0,1,0.06,1,2018
ETZONE,1/2/2018 0:0:0,3,0.08,1,2018
ETZONE,1/3/2018 0:0:0,3,0.05,1,2018
ETZONE,1/3/2018 0:0:0,1,0.04,1,2018
ETZONE,1/3/2018 0:0:0,2,0.04,1,2018
ETZONE,1/4/2018 0:0:0,2,0.08,1,2018
ETZONE,1/4/2018 0:0:0,1,0.07,1,2018
ETZONE,1/4/2018 0:0:0,3,0.09,1,2018
ETZONE,1/5/2018 0:0:0,2,0.07,1,2018
ETZONE,1/5/2018 0:0:0,3,0.07,1,2018
ETZONE,1/5/2018 0:0:0,1,0.07,1,2018
ETZONE,1/6/2018 0:0:0,1,0.04,1,2018
ETZONE,1/6/2018 0:0:0,3,0.05,1,2018
ETZONE,1/6/2018 0:0:0,2,0.05,1,2018
ETZONE,1/7/2018 0:0:0,1,0.05,1,2018
ETZONE,1/7/2018 0:0:0,3,0.06,1,2018
ETZONE,1/7/2018 0:0:0,2,0.05,1,2018
ETZONE,1/8/2018 0:0:0,2,0.02,1,2018
ETZONE,1/8/2018 0:0:0,1,0.05,1,2018
ETZONE,1/8/2018 0:0:0,3,0.02,1,2018
ETZONE,1/9/2018 0:0:0,1,0.03,1,2018
ETZONE,1/9/2018 0:0:0,2,0.03,1,2018
ETZONE,1/9/2018 0:0:0,3,0.02,1,2018
ETZONE,1/10/2018 0:0:0,2,0.04,1,2018
ETZONE,1/10/2018 0:0:0,3,0.03,1,2018
ETZONE,1/10/2018 0:0:0,1,0.06,1,2018
ETZONE,1/11/2018 0:0:0,2,0.07,1,2018
ETZONE,1/11/2018 0:0:0,1,0.07,1,2018
ETZONE,1/11/2018 0:0:0,3,0.07,1,2018
ETZONE,1/12/2018 0:0:0,3,0.08,1,2018
ETZONE,1/12/2018 0:0:0,2,0.08,1,2018
ETZONE,1/12/2018 0:0:0,1,0.08,1,2018
ETZONE,1/13/2018 0:0:0,2,0.11,1,2018
ETZONE,1/13/2018 0:0:0,1,0.09,1,2018
ETZONE,1/13/2018 0:0:0,3,0.09,1,2018
ETZONE,1/14/2018 0:0:0,1,0.09,1,2018
ETZONE,1/14/2018 0:0:0,3,0.09,1,2018
ETZONE,1/14/2018 0:0:0,2,0.1,1,2018
ETZONE,1/15/2018 0:0:0,1,0.07,1,2018
ETZONE,1/15/2018 0:0:0,3,0.08,1,2018
ETZONE,1/15/2018 0:0:0,2,0.08,1,2018
ETZONE,1/16/2018 0:0:0,1,0.06,1,2018
ETZONE,1/16/2018 0:0:0,2,0.07,1,2018
ETZONE,1/16/2018 0:0:0,3,0.06,1,2018
ETZONE,1/17/2018 0:0:0,3,0.09,1,2018
ETZONE,1/17/2018 0:0:0,1,0.08,1,2018
ETZONE,1/17/2018 0:0:0,2,0.09,1,2018
ETZONE,1/18/2018 0:0:0,3,0.09,1,2018
ETZONE,1/18/2018 0:0:0,2,0.1,1,2018
ETZONE,1/18/2018 0:0:0,1,0.09,1,2018
ETZONE,1/19/2018 0:0:0,1,0.05,1,2018
ETZONE,1/19/2018 0:0:0,3,0.05,1,2018
ETZONE,1/19/2018 0:0:0,2,0.05,1,2018
ETZONE,1/20/2018 0:0:0,3,0.09,1,2018
ETZONE,1/20/2018 0:0:0,2,0.1,1,2018
ETZONE,1/20/2018 0:0:0,1,0.09,1,2018
ETZONE,1/21/2018 0:0:0,2,0.08,1,2018
ETZONE,1/21/2018 0:0:0,3,0.08,1,2018
ETZONE,1/21/2018 0:0:0,1,0.08,1,2018
ETZONE,1/22/2018 0:0:0,2,0.1,1,2018
ETZONE,1/22/2018 0:0:0,3,0.09,1,2018
ETZONE,1/22/2018 0:0:0,1,0.08,1,2018
ETZONE,1/23/2018 0:0:0,1,0.09,1,2018
ETZONE,1/23/2018 0:0:0,3,0.11,1,2018
ETZONE,1/23/2018 0:0:0,2,0.11,1,2018
ETZONE,1/24/2018 0:0:0,1,0.12,1,2018
ETZONE,1/24/2018 0:0:0,3,0.11,1,2018
ETZONE,1/24/2018 0:0:0,2,0.11,1,2018
ETZONE,1/25/2018 0:0:0,1,0.05,1,2018
ETZONE,1/25/2018 0:0:0,2,0.05,1,2018
ETZONE,1/25/2018 0:0:0,3,0.05,1,2018
ETZONE,1/26/2018 0:0:0,2,0.09,1,2018
ETZONE,1/26/2018 0:0:0,1,0.08,1,2018
ETZONE,1/26/2018 0:0:0,3,0.09,1,2018
ETZONE,1/27/2018 0:0:0,1,0.09,1,2018
ETZONE,1/27/2018 0:0:0,3,0.11,1,2018
ETZONE,1/27/2018 0:0:0,2,0.12,1,2018
ETZONE,1/28/2018 0:0:0,3,0.17,1,2018
ETZONE,1/28/2018 0:0:0,2,0.2,1,2018
ETZONE,1/28/2018 0:0:0,1,0.13,1,2018
ETZONE,1/29/2018 0:0:0,1,0.12,1,2018
ETZONE,1/29/2018 0:0:0,3,0.13,1,2018
ETZONE,1/29/2018 0:0:0,2,0.18,1,2018
ETZONE,1/30/2018 0:0:0,3,0.08,1,2018
ETZONE,1/30/2018 0:0:0,1,0.06,1,2018
ETZONE,1/30/2018 0:0:0,2,0.09,1,2018
ETZONE,1/31/2018 0:0:0,1,0.1,1,2018
ETZONE,1/31/2018 0:0:0,3,0.11,1,2018
ETZONE,1/31/2018 0:0:0,2,0.12,1,2018
ETZONE,2/1/2018 0:0:0,2,0.12,2,2018
