month,year,precip
1,2019,31.86
1,2020,0.59
1,2021,8.72
1,2022,0.19
1,2023,24.46
1,2024,0.01
2,2019,48.22
2,2020,1.58
2,2021,0.24000000000000002
2,2022,1.02
2,2023,12.58
3,2019,11.48
3,2020,10.95
3,2021,4.91
3,2022,4.58
3,2023,23.3
4,2019,1.1
4,2020,9.67
4,2021,0.34
4,2022,0.94
4,2023,0.46
5,2019,6.08
5,2020,0.7000000000000001
5,2021,0.47
5,2022,0.29000000000000004
5,2023,4.1000000000000005
6,2019,1.22
6,2020,0.53
6,2021,0.06
6,2022,0.1
6,2023,0.88
7,2019,0.24000000000000002
7,2020,0.06
7,2021,0.15
7,2022,0.11
7,2023,0.0
8,2019,0.02
8,2020,0.0
8,2021,0.33
8,2022,0.0
8,2023,7.89
9,2019,0.64
9,2020,0.01
9,2021,0.5
9,2022,1.02
9,2023,0.38
10,2019,0.0
10,2020,0.04
10,2021,3.4
10,2022,1.63
10,2023,0.44
11,2019,17.42
11,2020,1.77
11,2021,0.060000000000000005
11,2022,6.5600000000000005
11,2023,1.93
12,2019,28.1
12,2020,3.45
12,2021,17.19
12,2022,11.94
12,2023,6.86
